,Name,APPLE,APPLE - NUMBER OF SHARES,APPLE - FREE FLOAT NOSH,APPLE_X,ALLIANZ,ALLIANZ - NUMBER OF SHARES,ALLIANZ - FREE FLOAT NOSH,ALLIANZ_X,GENERAL ELECTRIC,GENERAL ELECTRIC - NUMBER OF SHARES,GENERAL ELECTRIC - FREE FLOAT NOSH,GENERAL ELECTRIC_X,LLOYDS BANKING GROUP,LLOYDS BANKING GROUP - NUMBER OF SHARES,LLOYDS BANKING GROUP - FREE FLOAT NOSH,LLOYDS BANKING GROUP_X,BT GROUP,BT GROUP - NUMBER OF SHARES,BT GROUP - FREE FLOAT NOSH,BT GROUP_X,DEUTSCHE POST,DEUTSCHE POST - NUMBER OF SHARES,DEUTSCHE POST - FREE FLOAT NOSH,DEUTSCHE POST_X,JOHNSON & JOHNSON,JOHNSON & JOHNSON - NUMBER OF SHARES,JOHNSON & JOHNSON - FREE FLOAT NOSH,JOHNSON & JOHNSON_X,M
0,2015-04-20,127.6,5761029,1.0,1.0,163.773,457000,0.94,0.929843321400344,25.973,10075930,1.0,1.0,78.59,71373680,0.79,0.6704434983741745,453.0,8372216,0.95,0.6704434983741745,30.147,1211180,0.73,0.929843321400344,100.21,2780556,1.0,1.0,6752193490.043155
1,2015-04-21,126.91,5761029,1.0,1.0,163.725,457000,0.94,0.9309686729041569,25.5885,10075930,1.0,1.0,79.02,71373680,0.79,0.6698147962088482,456.85,8372216,0.95,0.6698147962088482,30.36,1211180,0.73,0.9309686729041569,100.3,2780556,1.0,1.0,6776559294.656851
2,2015-04-22,128.62,5761029,1.0,1.0,162.545,457000,0.94,0.9324878776575904,25.8672,10075930,1.0,1.0,78.23,71373680,0.79,0.6648936170212766,460.55,8372216,0.95,0.6648936170212766,30.039,1211180,0.73,0.9324878776575904,100.43,2780556,1.0,1.0,6739131843.119045
3,2015-04-23,129.67,5761029,1.0,1.0,160.484,457000,0.94,0.9257973429616257,25.8096,10075930,1.0,1.0,78.99,71373680,0.79,0.6642752756742394,463.9,8372216,0.95,0.6642752756742394,29.623,1211180,0.73,0.9257973429616257,100.46,2780556,1.0,1.0,6784051754.017053
4,2015-04-24,130.28,5761029,1.0,1.0,156.349,457000,0.94,0.9203442087340666,25.7615,10075930,1.0,1.0,79.1,71373680,0.79,0.6594131223211342,467.6,8372216,0.95,0.6594131223211342,30.092,1211180,0.73,0.9203442087340666,101.08,2773043,1.0,1.0,6770174106.965452
5,2015-04-27,132.65,5761029,1.0,1.0,158.295,457000,0.94,0.918822070106124,25.8384,10075930,1.0,1.0,78.65,71373680,0.79,0.6574621959237344,464.35,8372216,0.95,0.6574621959237344,30.549,1211180,0.73,0.918822070106124,100.58,2773043,1.0,1.0,6734578826.585052
6,2015-04-28,130.56,5761029,1.0,1.0,155.6,457000,0.94,0.9106224104175205,26.0691,10075930,1.0,1.0,78.0,71373680,0.79,0.6526350138684941,465.45,8372216,0.95,0.6526350138684941,29.946,1211180,0.73,0.9106224104175205,100.74,2773043,1.0,1.0,6665543131.0445595
7,2015-04-29,128.64,5761029,1.0,1.0,152.689,457000,0.94,0.8968609865470852,26.0403,10075930,1.0,1.0,77.42,71373680,0.79,0.647060726649196,457.5,8372216,0.95,0.647060726649196,29.092,1211180,0.73,0.8968609865470852,100.39,2773043,1.0,1.0,6542910748.70829
8,2015-04-30,125.15,5761029,1.0,1.0,153.244,457000,0.94,0.8924189014323324,26.0306,10075930,1.0,1.0,77.38,71373680,0.79,0.6507239303725394,455.75,8372359,0.95,0.6507239303725394,29.477,1211180,0.73,0.8924189014323324,99.2,2773043,1.0,1.0,6538354073.582959
9,2015-05-01,128.95,5761029,1.0,1.0,153.244,457000,0.94,0.8910670527957228,26.2517,10075930,1.0,1.0,82.87,71373680,0.76,0.6588483331137172,459.8,8372359,0.93,0.6588483331137172,29.477,1211184,0.73,0.8910670527957228,100.13,2773043,1.0,1.0,6687365601.671153
